1.422222009887792e-001,	9.887810e-001,
1.424535391538657e-001,	9.547939e-001,
1.428283635086773e-001,	8.561211e-001,
1.433166447586773e-001,	6.668180e-001,
1.437577121994992e-001,	4.448461e-001,
1.442329648040490e-001,	1.669994e-001,
1.447212460540490e-001,	-1.330501e-001,
1.451655922823586e-001,	-3.957761e-001,
1.456538735323586e-001,	-6.493135e-001,
1.460932228860195e-001,	-8.272204e-001,
1.465369967760231e-001,	-9.528724e-001,
1.467232046230533e-001,	-9.850096e-001,
1.468826293574479e-001,	-9.981311e-001,
1.470332474326204e-001,	-1.000393e+000,
1.472113510156775e-001,	-9.902388e-001,
1.474442514733225e-001,	-9.556544e-001,
1.478215585202058e-001,	-8.557353e-001,
1.483098397702058e-001,	-6.655262e-001,
1.487513584257883e-001,	-4.424984e-001,
1.492297806813089e-001,	-1.621324e-001,
1.497180619313089e-001,	1.382181e-001,
1.501623857749136e-001,	4.007778e-001,
1.506506670249136e-001,	6.536653e-001,
1.510898675686143e-001,	8.305678e-001,
1.515335017307530e-001,	9.550790e-001,
1.517171906827145e-001,	9.862798e-001,
1.518783981419447e-001,	9.989793e-001,
1.520360945683447e-001,	1.000841e+000,
1.522040271853440e-001,	9.906836e-001,
1.524406970241936e-001,	9.545861e-001,
1.528239888002132e-001,	8.516865e-001,
1.533122700502132e-001,	6.595767e-001,
1.537543633950055e-001,	4.348289e-001,
1.542303750711713e-001,	1.550451e-001,
1.547186563211713e-001,	-1.454418e-001,
1.551616594902306e-001,	-4.067057e-001,
1.556499407402306e-001,	-6.584594e-001,
1.560890057229822e-001,	-8.339041e-001,
1.565325127148643e-001,	-9.568291e-001,
1.567130528031068e-001,	-9.868259e-001,
1.568764950323609e-001,	-9.989458e-001,
1.570430749921870e-001,	-1.000219e+000,
1.571982377760746e-001,	-9.901488e-001,
1.574396357984881e-001,	-9.521182e-001,
1.578304237498254e-001,	-8.454800e-001,
1.583187049998254e-001,	-6.511286e-001,
1.587613773051525e-001,	-4.243245e-001,
1.592467582242186e-001,	-1.380510e-001,
1.597350394742186e-001,	1.621564e-001,
1.601779949126233e-001,	4.218512e-001,
1.606662761626233e-001,	6.705519e-001,
1.611047928739283e-001,	8.421081e-001,
1.615477469164428e-001,	9.608839e-001,
1.617210488778539e-001,	9.880552e-001,
1.618889119442958e-001,	9.986060e-001,
1.620754786344454e-001,	9.972755e-001,
1.622482577508540e-001,	9.821761e-001,
1.625292164832485e-001,	9.283347e-001,
1.629822041465260e-001,	7.863438e-001,
