1.908714584089980e-002,	4.019498e-003,
1.911350609899980e-002,	4.040082e-003,
1.913312154327236e-002,	4.056357e-003,
1.915371389784961e-002,	4.074379e-003,
1.917665348113430e-002,	4.095537e-003,
1.920581404731959e-002,	4.124149e-003,
1.925306092250642e-002,	4.173963e-003,
1.932816904889909e-002,	4.258133e-003,
1.943072076776961e-002,	4.373322e-003,
1.954100564350989e-002,	4.484803e-003,
1.962550150873156e-002,	4.551743e-003,
1.967709700636921e-002,	4.579165e-003,
1.971232459692906e-002,	4.589877e-003,
1.973785017341443e-002,	4.593316e-003,
1.975690833093436e-002,	4.593241e-003,
1.977982967514627e-002,	4.590251e-003,
1.980415227992496e-002,	4.583878e-003,
1.983279944492964e-002,	4.571570e-003,
1.987922973072769e-002,	4.542251e-003,
1.993205028191472e-002,	4.496973e-003,
1.998592910985876e-002,	4.438279e-003,
2.004135581606479e-002,	4.366118e-003,
2.011589914896446e-002,	4.256626e-003,
2.020198999630709e-002,	4.122091e-003,
2.027295530184206e-002,	4.009938e-003,
2.032335248647084e-002,	3.932298e-003,
2.035783401352205e-002,	3.881231e-003,
2.037896172474978e-002,	3.851129e-003,
2.040054774175788e-002,	3.821505e-003,
2.042963622772798e-002,	3.783053e-003,
2.045650686870995e-002,	3.749179e-003,
2.050010347474211e-002,	3.697596e-003,
2.056975841458531e-002,	3.620608e-003,
2.067558795980941e-002,	3.507131e-003,
2.078156742582488e-002,	3.387382e-003,
2.085295372789963e-002,	3.294758e-003,
2.091927983160441e-002,	3.193085e-003,
2.097496060616990e-002,	3.095432e-003,
2.099892992533349e-002,	3.048872e-003,
2.101865968633985e-002,	3.007704e-003,
2.103879935464607e-002,	2.963519e-003,
2.106165738394390e-002,	2.910769e-003,
2.109084820195276e-002,	2.839172e-003,
2.113814316031752e-002,	2.714535e-003,
2.119689594690731e-002,	2.547876e-003,
2.125197480593509e-002,	2.380293e-003,
2.132320677917118e-002,	2.151455e-003,
2.140425053530022e-002,	1.883382e-003,
2.147101961810118e-002,	1.661533e-003,
2.152938802207176e-002,	1.471469e-003,
2.159481323646898e-002,	1.265210e-003,
2.162572183932069e-002,	1.171103e-003,
2.164507851262580e-002,	1.114081e-003,
2.166909533634214e-002,	1.045101e-003,
2.169071135312464e-002,	9.846232e-004,
2.172036262246291e-002,	9.045036e-004,
2.176838896389001e-002,	7.808011e-004,
2.184464806657986e-002,	5.956147e-004,
2.193933486766907e-002,	3.770719e-004,
2.204551657739957e-002,	1.349652e-004,
2.214435731054061e-002,	-9.798815e-005,
2.219404317102340e-002,	-2.221637e-004,
2.222820942640272e-002,	-3.124404e-004,
2.225305471408333e-002,	-3.807034e-004,
2.227216992560504e-002,	-4.349175e-004,
2.229589531182182e-002,	-5.041072e-004,
2.231846514485231e-002,	-5.718209e-004,
2.234776284893641e-002,	-6.628186e-004,
2.239522766484629e-002,	-8.162539e-004,
2.245514072582393e-002,	-1.018481e-003,
2.253352510053328e-002,	-1.292812e-003,
2.262144326600189e-002,	-1.604017e-003,
2.273214736985061e-002,	-1.987927e-003,
2.280250964970398e-002,	-2.220408e-003,
2.284256931010173e-002,	-2.344983e-003,
2.287110942365391e-002,	-2.429229e-003,
2.289223681234297e-002,	-2.489030e-003,
2.291382303014075e-002,	-2.547666e-003,
2.294291078623433e-002,	-2.623359e-003,
2.296978170037439e-002,	-2.689519e-003,
2.301337874303194e-002,	-2.788882e-003,
2.307747238853052e-002,	-2.921205e-003,
2.315214821377648e-002,	-3.058086e-003,
2.324050110547778e-002,	-3.202916e-003,
2.334074104513492e-002,	-3.357213e-003,
2.341433424421174e-002,	-3.470172e-003,
2.345959655860459e-002,	-3.542124e-003,
2.349123696802910e-002,	-3.594599e-003,
2.351443642281440e-002,	-3.634450e-003,
2.353470984721970e-002,	-3.670300e-003,
2.355442580878625e-002,	-3.706078e-003,
2.357580633369970e-002,	-3.745944e-003,
2.360554485658443e-002,	-3.803243e-003,
2.365370969106551e-002,	-3.899805e-003,
2.373017277799351e-002,	-4.058641e-003,
2.382380624509373e-002,	-4.254160e-003,
2.393204209143443e-002,	-4.469750e-003,
2.401208737931446e-002,	-4.612163e-003,
2.407484469009234e-002,	-4.706957e-003,
2.411708407323050e-002,	-4.760535e-003,
2.414091685124120e-002,	-4.786183e-003,
2.416074279408632e-002,	-4.804657e-003,
2.418050137552137e-002,	-4.820688e-003,
2.420329072170157e-002,	-4.836243e-003,
2.423250701540756e-002,	-4.851347e-003,
2.427984246268132e-002,	-4.866218e-003,
2.433082765636851e-002,	-4.870537e-003,
2.438414599177764e-002,	-4.862858e-003,
2.443027263080046e-002,	-4.847293e-003,
2.447387247625410e-002,	-4.825972e-003,
2.451807883200762e-002,	-4.799582e-003,
2.456505038151678e-002,	-4.768187e-003,
2.462341087069108e-002,	-4.727353e-003,
2.468578836541211e-002,	-4.684447e-003,
2.474111208210171e-002,	-4.648597e-003,
2.476605387779511e-002,	-4.633703e-003,
2.478510164859306e-002,	-4.623241e-003,
2.480874563340345e-002,	-4.611179e-003,
2.483158162336921e-002,	-4.600481e-003,
2.486078061630447e-002,	-4.588326e-003,
2.490808856749658e-002,	-4.571604e-003,
2.498328705724002e-002,	-4.549144e-003,
2.507555194404226e-002,	-4.521432e-003,
2.517865732951403e-002,	-4.477385e-003,
2.529011616975089e-002,	-4.404626e-003,
2.533839934899272e-002,	-4.359845e-003,
2.537177509251994e-002,	-4.320716e-003,
2.539610935866674e-002,	-4.288258e-003,
2.541558255868063e-002,	-4.259726e-003,
2.543673779586717e-002,	-4.226205e-003,
2.545977874044768e-002,	-4.186793e-003,
2.548890170420160e-002,	-4.132290e-003,
2.553608880764093e-002,	-4.034704e-003,
2.558988412670377e-002,	-3.911619e-003,
2.564443404259938e-002,	-3.774447e-003,
2.570603799027985e-002,	-3.607192e-003,
2.578376838566590e-002,	-3.385082e-003,
2.587952303603231e-002,	-3.105762e-003,
2.594166253693460e-002,	-2.925758e-003,
2.598275881928624e-002,	-2.809558e-003,
2.601715740892189e-002,	-2.714876e-003,
2.603717394385235e-002,	-2.661124e-003,
2.605946540496336e-002,	-2.602675e-003,
2.608601517978557e-002,	-2.534689e-003,
2.611383377291109e-002,	-2.465589e-003,
2.615894394272231e-002,	-2.358040e-003,
2.623087229684301e-002,	-2.194559e-003,
2.633254914305432e-002,	-1.971358e-003,
2.643827013081455e-002,	-1.737535e-003,
2.652887592347302e-002,	-1.526321e-003,
2.658331522793830e-002,	-1.389657e-003,
2.662009298750351e-002,	-1.290949e-003,
2.664660031399240e-002,	-1.216294e-003,
2.666633819094082e-002,	-1.158582e-003,
2.668881078774616e-002,	-1.090659e-003,
2.671471648614426e-002,	-1.009760e-003,
2.674277495435804e-002,	-9.186519e-004,
2.678826758143259e-002,	-7.642351e-004,
2.684122761682723e-002,	-5.759396e-004,
2.690136158660069e-002,	-3.523819e-004,
2.697854367666944e-002,	-5.634785e-005,
2.706783810400596e-002,	2.882892e-004,
2.716719714116500e-002,	6.646095e-004,
2.721814785612039e-002,	8.503441e-004,
2.725301897188381e-002,	9.721215e-004,
2.727831679707155e-002,	1.057510e-003,
2.729721647495437e-002,	1.119431e-003,
2.732024383230669e-002,	1.192765e-003,
2.734419493478876e-002,	1.266725e-003,
2.737298008242464e-002,	1.352034e-003,
2.741962994201876e-002,	1.482472e-003,
2.749385320294380e-002,	1.675047e-003,
2.758089743488945e-002,	1.883541e-003,
2.768230375825028e-002,	2.113339e-003,
2.778898970213339e-002,	2.352953e-003,
